Student_ID,Student_Age,Sex,High_School_Type,Scholarship,Additional_Work,Sports_activity,Transportation,Weekly_Study_Hours,Attendance,Reading,Notes,Listening_in_Class,Project_work,Grade
STUDENT60,22,Male,State,50%,No,1,Bus,0,Always,1,1,0,0,2
STUDENT61,19,Female,State,50%,No,0,Private,12,Sometimes,1,0,1,0,3.5
STUDENT62,18,Male,Other,50%,No,1,Private,2,Always,0,1,1,0,2
STUDENT63,19,Male,State,50%,No,0,Private,0,Never,0,0,1,1,3
STUDENT64,19,Male,State,75%,No,0,Bus,2,Always,1,1,1,0,2
STUDENT65,19,Male,Other,100%,No,0,Private,0,Always,1,0,0,1,3
STUDENT66,18,Male,State,50%,No,0,Bus,12,Always,1,0,0,0,3.5
STUDENT67,19,Male,State,50%,No,0,Bus,0,Always,1,0,0,0,2
STUDENT68,22,Male,Other,50%,Yes,1,Private,12,Always,0,0,0,0,4
STUDENT69,22,Female,State,75%,Yes,0,Private,0,Always,1,0,1,0,2
STUDENT70,22,Female,State,75%,No,0,Bus,0,Always,1,0,0,1,2
STUDENT71,18,Male,State,75%,No,1,Bus,0,Always,1,1,1,1,0.5
STUDENT72,18,Female,Other,75%,No,0,Private,0,Always,0,1,1,0,1
STUDENT73,18,Male,State,50%,No,1,Bus,0,Always,0,1,1,1,1
STUDENT74,19,Male,State,75%,No,0,Private,0,Always,0,1,1,0,1
STUDENT75,18,Male,State,75%,No,0,Private,0,Always,1,0,0,0,0.5
STUDENT76,18,Male,State,75%,No,1,Private,0,Always,0,1,0,0,0.5
STUDENT77,19,Male,Private,25%,No,1,Private,2,Always,1,1,0,0,2.5
STUDENT78,18,Male,Private,25%,No,0,Bus,2,Sometimes,0,1,0,1,0.5
STUDENT79,22,Female,State,75%,Yes,1,Private,0,Always,1,1,1,0,2.5
STUDENT80,22,Male,State,75%,No,0,Private,0,Always,1,1,1,0,3
STUDENT81,22,Female,State,50%,Yes,0,Bus,0,Sometimes,1,1,1,1,2.5
STUDENT82,24,Male,State,50%,Yes,0,Private,0,Always,0,1,0,0,3
STUDENT83,22,Male,State,75%,Yes,0,Bus,2,Always,1,0,1,0,0.5
STUDENT84,19,Male,Other,50%,No,0,Private,12,Always,1,1,0,1,0.5
STUDENT85,23,Male,Other,50%,Yes,0,Bus,12,Always,0,1,0,0,0.5
STUDENT86,18,Male,State,100%,No,0,Private,2,Always,1,1,1,0,2.5
STUDENT87,19,Male,State,75%,No,0,Private,0,Never,0,0,1,1,2
STUDENT88,22,Male,State,50%,No,1,Private,2,Always,1,0,0,1,1
STUDENT89,18,Male,State,75%,No,1,Bus,0,Always,1,1,0,1,1
STUDENT90,22,Male,State,50%,No,0,Private,0,Always,1,0,0,0,1
STUDENT91,22,Female,State,50%,No,1,Bus,0,Sometimes,0,0,1,1,1
STUDENT92,19,Male,State,100%,Yes,1,Bus,0,Always,0,1,1,0,1
STUDENT93,18,Male,State,50%,No,0,Private,0,Always,1,0,0,0,0.5
STUDENT94,18,Male,State,0%,Yes,0,Bus,0,Always,0,1,0,0,2.5
STUDENT95,22,Male,State,50%,No,0,Bus,0,Always,1,0,0,0,1
STUDENT96,18,Male,Other,100%,Yes,1,Bus,0,Sometimes,0,0,0,1,2
STUDENT97,18,Male,State,75%,No,1,Bus,0,Sometimes,0,0,0,0,0.5
STUDENT98,18,Male,State,75%,Yes,0,Private,0,Always,0,0,1,0,1
STUDENT99,18,Male,State,75%,No,1,Private,0,Never,0,0,0,1,0.5
STUDENT100,20,Male,State,50%,No,0,Private,0,Never,0,0,0,1,0.5
STUDENT101,18,Male,State,75%,No,0,Private,0,Sometimes,0,1,1,1,1
STUDENT102,18,Male,State,75%,No,0,Bus,2,Always,0,0,1,1,0.5
STUDENT103,18,Male,State,50%,No,0,Bus,0,Always,0,0,1,1,0.5
STUDENT104,18,Male,Private,75%,No,0,Bus,12,Always,0,1,1,0,0.5
STUDENT105,18,Female,State,50%,No,0,Private,0,Sometimes,0,1,0,1,3
STUDENT106,18,Male,State,75%,Yes,1,Private,0,Always,1,0,0,0,0.5
STUDENT107,18,Male,State,75%,No,1,Private,0,Always,0,0,0,1,0.5
STUDENT108,18,Female,State,75%,Yes,1,Private,0,Always,0,1,1,0,1
STUDENT109,20,Female,Private,100%,No,1,Private,2,Sometimes,1,1,0,1,1
STUDENT110,18,Male,Private,50%,No,1,Bus,0,Sometimes,0,1,0,1,0.5
STUDENT111,21,Male,State,50%,No,0,Private,2,Never,0,1,0,1,3.5
STUDENT112,18,Female,Private,100%,No,1,Private,0,Always,0,0,1,1,3.5
STUDENT113,22,Female,Other,50%,Yes,0,Private,0,3,0,1,1,1,3.5
STUDENT114,19,Female,Other,50%,No,0,Private,0,Never,0,1,0,1,4
STUDENT115,20,Female,State,100%,Yes,1,Private,8,Always,1,1,1,1,3.5
STUDENT116,19,Female,State,100%,Yes,0,Bus,0,Always,1,1,1,1,4
STUDENT117,22,Female,State,100%,No,0,Private,0,Always,1,1,1,0,4
STUDENT118,23,Female,Private,50%,No,1,Private,0,Always,0,1,0,1,4
STUDENT119,18,Male,State,100%,No,1,Bus,0,Never,0,1,0,0,4
STUDENT120,19,Female,State,75%,No,1,Private,0,Always,0,0,1,1,3.5
STUDENT121,19,Female,Private,50%,Yes,1,Bus,2,Sometimes,0,0,1,1,4
STUDENT122,19,Female,State,50%,Yes,1,Bus,0,Sometimes,1,1,1,0,0
STUDENT123,18,Male,State,100%,No,1,Private,0,Always,1,0,1,1,3.5
STUDENT124,19,Female,Other,50%,No,0,Private,12,Always,1,0,0,0,4
STUDENT125,18,Female,State,75%,Yes,1,Bus,0,Always,0,0,1,1,3
STUDENT126,18,Female,State,100%,Yes,1,Private,0,Always,0,1,1,0,3.5
STUDENT127,18,Female,Private,75%,Yes,1,Bus,12,Sometimes,0,1,0,1,3
STUDENT128,18,Female,State,75%,No,0,Private,0,Never,0,0,0,1,4
STUDENT129,18,Female,State,75%,No,1,Bus,0,Never,0,0,0,1,0
STUDENT130,18,Female,State,50%,Yes,1,Private,0,Always,1,1,1,0,3
STUDENT131,18,Female,State,50%,Yes,1,Private,0,Always,1,1,0,0,4
STUDENT132,18,Female,Private,100%,No,1,Private,0,Sometimes,0,1,1,1,2.5
STUDENT133,18,Female,Private,100%,No,1,Private,0,Always,0,1,0,0,3
STUDENT134,18,Female,State,100%,No,0,Bus,0,Always,1,1,1,1,3
STUDENT135,18,Female,State,75%,No,1,Private,0,Sometimes,0,1,1,1,4
STUDENT136,22,Female,State,50%,Yes,1,Private,0,Never,0,0,1,1,3.5
STUDENT137,18,Female,State,50%,Yes,1,Bus,0,Sometimes,0,0,1,0,0
STUDENT138,18,Female,Private,100%,No,1,Private,0,Always,1,0,0,1,3.5
STUDENT139,18,Female,State,75%,Yes,1,Bus,12,Sometimes,0,0,1,1,0
STUDENT140,18,Female,State,75%,Yes,0,Bus,2,Sometimes,0,0,1,1,0
STUDENT141,21,Female,State,50%,Yes,1,Private,0,Always,0,1,0,1,2
STUDENT142,18,Female,State,75%,No,0,Private,0,Never,0,1,1,0,2
STUDENT143,18,Female,Private,75%,No,0,Private,0,Always,1,0,0,0,4
STUDENT144,20,Female,State,75%,Yes,1,Bus,12,Sometimes,0,1,0,1,2.5
STUDENT145,18,Female,Private,100%,No,0,Private,12,Always,1,0,1,0,3
